exp,execution,benchmark,size_of_data,schedule,chunk_size,num_threads,version,num_threads,N,ORIG,OMP
schedule-test,6,vectoradd,1048576,STATIC,64,2,OMP,2,1048576,7145040,171919939
schedule-test,7,vectoradd,1048576,STATIC,64,2,OMP,2,1048576,6771857,167984054
schedule-test,8,vectoradd,1048576,STATIC,64,2,OMP,2,1048576,6278735,168478531
schedule-test,9,vectoradd,1048576,STATIC,64,2,OMP,2,1048576,6936395,173708780
schedule-test,10,vectoradd,1048576,STATIC,64,2,OMP,2,1048576,6404847,50619637
schedule-test,1,vectoradd,1048576,STATIC,128,2,OMP,2,1048576,6491602,164439460
schedule-test,2,vectoradd,1048576,STATIC,128,2,OMP,2,1048576,6345822,187407490
schedule-test,3,vectoradd,1048576,STATIC,128,2,OMP,2,1048576,6334266,169736762
schedule-test,4,vectoradd,1048576,STATIC,128,2,OMP,2,1048576,6285353,171088507
schedule-test,5,vectoradd,1048576,STATIC,128,2,OMP,2,1048576,6892899,172225696
schedule-test,6,vectoradd,1048576,STATIC,128,2,OMP,2,1048576,9699764,168463515
schedule-test,7,vectoradd,1048576,STATIC,128,2,OMP,2,1048576,6404053,169790063
schedule-test,8,vectoradd,1048576,STATIC,128,2,OMP,2,1048576,7290770,172843009
schedule-test,9,vectoradd,1048576,STATIC,128,2,OMP,2,1048576,9480522,52896130
schedule-test,10,vectoradd,1048576,STATIC,128,2,OMP,2,1048576,7417044,191009634
schedule-test,1,vectoradd,1048576,STATIC,256,2,OMP,2,1048576,6253069,153034466
schedule-test,2,vectoradd,1048576,STATIC,256,2,OMP,2,1048576,6696695,165872277
schedule-test,3,vectoradd,1048576,STATIC,256,2,OMP,2,1048576,5994587,172407074
schedule-test,4,vectoradd,1048576,STATIC,256,2,OMP,2,1048576,7221994,173481035
schedule-test,5,vectoradd,1048576,STATIC,256,2,OMP,2,1048576,6157574,164164662
schedule-test,6,vectoradd,1048576,STATIC,256,2,OMP,2,1048576,7016939,167769098
schedule-test,7,vectoradd,1048576,STATIC,256,2,OMP,2,1048576,6872711,168538715
schedule-test,8,vectoradd,1048576,STATIC,256,2,OMP,2,1048576,6474049,182774802
schedule-test,9,vectoradd,1048576,STATIC,256,2,OMP,2,1048576,6533106,178044447
schedule-test,10,vectoradd,1048576,STATIC,256,2,OMP,2,1048576,7363409,167466765
schedule-test,1,vectoradd,1048576,DYNAMIC,16,2,OMP,2,1048576,6775384,14347618
schedule-test,2,vectoradd,1048576,DYNAMIC,16,2,OMP,2,1048576,6225156,7284676
schedule-test,3,vectoradd,1048576,DYNAMIC,16,2,OMP,2,1048576,6168562,6625391
schedule-test,4,vectoradd,1048576,DYNAMIC,16,2,OMP,2,1048576,6170163,16560740
schedule-test,5,vectoradd,1048576,DYNAMIC,16,2,OMP,2,1048576,6128047,16601086
schedule-test,6,vectoradd,1048576,DYNAMIC,16,2,OMP,2,1048576,6154980,16206797
schedule-test,7,vectoradd,1048576,DYNAMIC,16,2,OMP,2,1048576,6321630,8799530
schedule-test,8,vectoradd,1048576,DYNAMIC,16,2,OMP,2,1048576,6494893,16307316
schedule-test,9,vectoradd,1048576,DYNAMIC,16,2,OMP,2,1048576,7599626,15799441
schedule-test,10,vectoradd,1048576,DYNAMIC,16,2,OMP,2,1048576,8037219,16870139
schedule-test,1,vectoradd,1048576,DYNAMIC,32,2,OMP,2,1048576,7126536,10057555
schedule-test,2,vectoradd,1048576,DYNAMIC,32,2,OMP,2,1048576,6750916,4565831
schedule-test,3,vectoradd,1048576,DYNAMIC,32,2,OMP,2,1048576,6776796,4553732
schedule-test,4,vectoradd,1048576,DYNAMIC,32,2,OMP,2,1048576,6303026,8961581
schedule-test,5,vectoradd,1048576,DYNAMIC,32,2,OMP,2,1048576,6852235,9485345
schedule-test,6,vectoradd,1048576,DYNAMIC,32,2,OMP,2,1048576,6603157,9572289
schedule-test,7,vectoradd,1048576,DYNAMIC,32,2,OMP,2,1048576,7602956,9471872
schedule-test,8,vectoradd,1048576,DYNAMIC,32,2,OMP,2,1048576,6901569,8898427
schedule-test,9,vectoradd,1048576,DYNAMIC,32,2,OMP,2,1048576,6267973,9056340
schedule-test,10,vectoradd,1048576,DYNAMIC,32,2,OMP,2,1048576,6209045,8309040
schedule-test,1,vectoradd,1048576,DYNAMIC,64,2,OMP,2,1048576,6602792,5369655
schedule-test,2,vectoradd,1048576,DYNAMIC,64,2,OMP,2,1048576,6248436,6567210
schedule-test,3,vectoradd,1048576,DYNAMIC,64,2,OMP,2,1048576,6812761,6156242
schedule-test,4,vectoradd,1048576,DYNAMIC,64,2,OMP,2,1048576,7135661,6006409
schedule-test,5,vectoradd,1048576,DYNAMIC,64,2,OMP,2,1048576,6794609,6800577
schedule-test,6,vectoradd,1048576,DYNAMIC,64,2,OMP,2,1048576,6657262,3804627
schedule-test,7,vectoradd,1048576,DYNAMIC,64,2,OMP,2,1048576,7593310,6718623
schedule-test,8,vectoradd,1048576,DYNAMIC,64,2,OMP,2,1048576,7215353,7256892
schedule-test,9,vectoradd,1048576,DYNAMIC,64,2,OMP,2,1048576,7035496,6566047
schedule-test,10,vectoradd,1048576,DYNAMIC,64,2,OMP,2,1048576,7125134,6626782
schedule-test,1,vectoradd,1048576,DYNAMIC,128,2,OMP,2,1048576,6280346,5657530
schedule-test,2,vectoradd,1048576,DYNAMIC,128,2,OMP,2,1048576,6257741,5860443
schedule-test,3,vectoradd,1048576,DYNAMIC,128,2,OMP,2,1048576,6115442,4149871
schedule-test,4,vectoradd,1048576,DYNAMIC,128,2,OMP,2,1048576,7354690,4198822
schedule-test,5,vectoradd,1048576,DYNAMIC,128,2,OMP,2,1048576,6345715,5776410
schedule-test,6,vectoradd,1048576,DYNAMIC,128,2,OMP,2,1048576,6691698,4634440
schedule-test,7,vectoradd,1048576,DYNAMIC,128,2,OMP,2,1048576,6480419,4989440
schedule-test,8,vectoradd,1048576,DYNAMIC,128,2,OMP,2,1048576,6770207,5613684
schedule-test,9,vectoradd,1048576,DYNAMIC,128,2,OMP,2,1048576,6222366,4467389
schedule-test,10,vectoradd,1048576,DYNAMIC,128,2,OMP,2,1048576,6091013,5462177
schedule-test,1,vectoradd,1048576,DYNAMIC,256,2,OMP,2,1048576,6438598,4559426
schedule-test,2,vectoradd,1048576,DYNAMIC,256,2,OMP,2,1048576,7416794,4121215
schedule-test,3,vectoradd,1048576,DYNAMIC,256,2,OMP,2,1048576,6870502,4338848
schedule-test,4,vectoradd,1048576,DYNAMIC,256,2,OMP,2,1048576,7394534,4755515
schedule-test,5,vectoradd,1048576,DYNAMIC,256,2,OMP,2,1048576,6904855,4796088
schedule-test,6,vectoradd,1048576,DYNAMIC,256,2,OMP,2,1048576,6703785,3730842
schedule-test,7,vectoradd,1048576,DYNAMIC,256,2,OMP,2,1048576,7910202,4665094
schedule-test,8,vectoradd,1048576,DYNAMIC,256,2,OMP,2,1048576,6348973,5115126
schedule-test,9,vectoradd,1048576,DYNAMIC,256,2,OMP,2,1048576,6526575,4906369
schedule-test,10,vectoradd,1048576,DYNAMIC,256,2,OMP,2,1048576,6148365,4495837
schedule-test,1,vectoradd,1048576,GUIDED,16,2,OMP,2,1048576,7296946,2603831
schedule-test,2,vectoradd,1048576,GUIDED,16,2,OMP,2,1048576,6411011,4042246
schedule-test,3,vectoradd,1048576,GUIDED,16,2,OMP,2,1048576,6656720,3796189
schedule-test,4,vectoradd,1048576,GUIDED,16,2,OMP,2,1048576,6861034,3719968
schedule-test,5,vectoradd,1048576,GUIDED,16,2,OMP,2,1048576,6087954,4480861
schedule-test,6,vectoradd,1048576,GUIDED,16,2,OMP,2,1048576,7375279,3391410
schedule-test,7,vectoradd,1048576,GUIDED,16,2,OMP,2,1048576,6976478,3486410
schedule-test,8,vectoradd,1048576,GUIDED,16,2,OMP,2,1048576,6432263,3523038
schedule-test,9,vectoradd,1048576,GUIDED,16,2,OMP,2,1048576,7197906,3937060
schedule-test,10,vectoradd,1048576,GUIDED,16,2,OMP,2,1048576,6912928,4508785
